Property_ID,Title,City,Locality,Property_Type,Price_USD,Area_SqFt,Bedrooms,Bathrooms,Year_Built,Listing_Date,Status,Demand_Score,Customer_Rating,Price_Per_SqFt,Property_Age,Investment_Score
PROP-10000,3 BHK Villa for sale in Manhattan,New York,Manhattan,Villa,5173316.59,2943.0,3,2,2017.0,2024-01-31,Active,10,4.6,1757.84,9.0,8.3
PROP-10001,Residential plot of 3547 sqft in Brooklyn,New York,Brooklyn,Plot,3892878.45,3547.0,0,0,1994.0,2024-12-10,Pending,2,4.2,1097.51,32.0,4.9
PROP-10002,3 BHK Apartment for sale in Loop,Chicago,Loop,Apartment,816513.13,2198.0,3,3,1944.0,2024-02-16,Pending,2,4.7,371.48,82.0,5.0
PROP-10003,2 BHK Apartment for sale in South Austin,Austin,South Austin,Apartment,690926.29,1593.0,2,1,1979.0,2025-10-17,Active,6,4.7,433.73,47.0,6.8
PROP-10004,Commercial Space / Office in Pacific Heights,San Francisco,Pacific Heights,Commercial,43066159.08,22064.0,0,9,1969.0,2024-09-09,Sold,5,4.5,1951.87,57.0,6.3
PROP-10005,2 BHK Apartment for sale in Marina,San Francisco,Marina,Apartment,936895.86,813.0,2,3,1974.0,2025-01-29,Pending,9,4.6,1152.39,52.0,7.8
PROP-10006,Commercial Space / Office in Downtown,Austin,Downtown,Commercial,7615881.19,15867.0,0,2,2021.0,2024-09-26,Active,10,4.9,479.98,5.0,8.3
PROP-10007,Commercial Space / Office in Mission District,San Francisco,Mission District,Commercial,7481890.18,13053.0,0,7,2016.0,2024-11-10,Active,10,4.1,573.19,10.0,8.8
PROP-10008,Residential plot of 4470 sqft in Marina,San Francisco,Marina,Plot,5650593.75,4470.0,0,0,1991.5,2024-07-24,Pending,6,3.9,1264.11,34.5,6.1
PROP-10009,3 BHK Villa for sale in Downtown,Austin,Downtown,Villa,1201766.18,2381.0,3,3,1984.0,2024-12-04,Active,7,4.3,504.73,42.0,6.7
PROP-10010,4 BHK Apartment for sale in River North,Chicago,River North,Apartment,629890.95,1849.0,4,2,1974.0,2024-02-25,Sold,2,3.1,340.67,52.0,4.2
PROP-10011,Residential plot of 5092 sqft in Marina,San Francisco,Marina,Plot,6343752.51,5092.0,0,0,1991.5,2024-03-18,Sold,2,3.1,1245.83,34.5,4.0
PROP-10012,Commercial Space / Office in SOMA,San Francisco,SOMA,Commercial,9721873.45,8004.0,0,8,2017.0,2025-01-23,Pending,7,4.9,1214.63,9.0,7.4
PROP-10013,3 BHK Villa for sale in Little Havana,Miami,Little Havana,Villa,1491358.54,3583.0,3,2,2000.0,2025-08-21,Sold,3,3.1,416.23,26.0,4.8
PROP-10014,3 BHK Apartment for sale in Loop,Chicago,Loop,Apartment,499501.23,1358.0,3,2,1946.0,2024-11-17,Pending,3,4.3,367.82,80.0,5.2
PROP-10015,4 BHK Villa for sale in South Beach,Miami,South Beach,Villa,2654363.05,3972.0,5,4,1984.0,2025-01-13,Pending,10,4.6,668.27,42.0,8.1
PROP-10016,2 BHK Apartment for sale in Brooklyn,New York,Brooklyn,Apartment,2500232.25,2020.0,2,2,1956.0,2024-12-17,Sold,5,4.0,1237.74,70.0,5.9
PROP-10017,4 BHK Villa for sale in Manhattan,New York,Manhattan,Villa,7539133.36,3945.0,4,5,2015.0,2025-07-28,Active,5,4.1,1911.06,11.0,5.8
PROP-10018,5 BHK Villa for sale in Queens,New York,Queens,Villa,3407683.15,2642.0,5,5,2019.0,2024-08-30,Active,7,3.0,1289.81,7.0,5.9
