Property_ID,Title,City,Locality,Property_Type,Price_USD,Area_SqFt,Bedrooms,Bathrooms,Year_Built,Listing_Date,Status,Demand_Score,Customer_Rating
PROP-11208,Residential plot of 6206 sqft in South Austin,AUSTIN,South Austin,Plot,Contact Agent,6206,,,,2024-08-02,Active,2,4.2
PROP-12159,2 BHK Apartment for sale in Brooklyn,NY,Brooklyn,Apt,2095332.63293979,2044,2.0,1.0,2013.0,2024-01-19,Sold,10,4.0
PROP-12529,Residential plot of 7225 sqft in Bronx,New York,Bronx,Plot,7411244.419574636,7225,,,,2025-10-08,Active,4,3.1
PROP-11660,Commercial Space / Office in Downtown,Austin,Downtown,Office,8824517.58744521,20055,,4.0,2007.0,2025-01-29,Pending,7,4.3
PROP-11502,Residential plot of 3798 sqft in East Austin,Austin,East Austin,Plot,1560528.1842207524,3798,,,,2025/07/21,Pending,6,4.6
PROP-10237,1 BHK Apartment for sale in Little Havana,miami,Little Havana,apartment,761089.8381062712,1474,1.0,3.0,1984.0,2024-04-05,Active,10,4.0
PROP-12413,4 BHK Apartment for sale in Marina,SAN FRANCISCO,Marina,apartment,1935938.1257386778,1748,4.0,1.0,1935.0,19/06/2024,Active,4,3.3
PROP-10318,Commercial Space / Office in Downtown,AUSTIN,Downtown,Commercial,2564329.5398184294,5155,,10.0,1964.0,2024-10-11,Sold,7,3.6
PROP-11868,Commercial Space / Office in Downtown,ATX,Downtown,COMMERCIAL,2221725.572523357,5046,,5.0,1962.0,2024-01-12,Active,5,3.2
PROP-13303,6 BHK Villa for sale in Queens,NEW YORK,Queens,Villa,5730135.361029805,5424,6.0,5.0,2018.0,2025-03-21,Pending,3,4.6
PROP-12057,1 BHK Apartment for sale in Mission District,san francisco,Mission District,apartment,2164309.637250774,1465,1.0,3.0,1940.0,2024-03-09,Active,7,4.0
PROP-10185,4 BHK Villa for sale in Bronx,new york,Bronx,Villa,2832689.9139227117,3378,4.0,2.0,2007.0,2025-11-30,Sold,3,4.7
PROP-12402,Commercial Space / Office in SOMA,SF,SOMA,commercial,38237033.036041185,24816,,3.0,1964.0,2025-01-26,Sold,10,4.3
PROP-11896,5 BHK Villa for sale in Little Havana,Miami,Little Havana,Villa,1669769.677399167,3810,5.0,5.0,2000.0,2024-11-10,Sold,2,3.2
PROP-12271,3 BHK Villa for sale in Downtown,ATX,Downtown,VILLA,2610451.811172514,5797,3.0,2.0,2005.0,2024-07-25,Active,5,4.9
PROP-10245,Commercial Space / Office in Coral Gables,MIA,Coral Gables,Office,8741447.15772762,8971,,7.0,2021.0,2025-11-28,Sold,1,4.0
PROP-10576,Residential plot of 3423 sqft in Little Havana,Miami,Little Havana,Plot,1878966.136641943,3423,,,,2024-08-13,Active,6,4.0
PROP-13077,4 BHK Apartment for sale in South Austin,austin,South Austin,APT,980349.0895571933,2039,,3.0,1937.0,27/07/2025,Sold,3,3.0
PROP-11906,2 BHK Apartment for sale in Hyde Park,CHICAGO,Hyde Park,APT,253951.66323664214,891,2.0,3.0,1934.0,27/01/2024,Active,4,3.1
PROP-13055,Residential plot of 9190 sqft in Brooklyn,new york,Brooklyn,Land,"$10,691,704",9190,,,,2024-08-11,Sold,9,4.8
PROP-12950,5 BHK Villa for sale in Downtown,austin,Downtown,Villa,1149658.0959520556,2622,5.0,2.0,2018.0,2024-08-20,Sold,7,3.3
PROP-10965,6 BHK Villa for sale in Little Havana,MIA,Little Havana,VILLA,1878291.9667227813,3969,6.0,2.0,1997.0,2024-11-15,Pending,1,3.3
PROP-12531,4 BHK Apartment for sale in Bronx,new york,Bronx,APT,1985927.402534681,1973,4.0,2.0,1926.0,2024-07-16,Sold,9,4.9
PROP-13454,1 BHK Apartment for sale in Coral Gables,MIAMI,Coral Gables,apartment,859647.9488598811,893,1.0,1.0,2017.0,2024-07-07,Sold,4,4.2
PROP-11122,6 BHK Villa for sale in Brooklyn,NEW YORK,Brooklyn,Villa,2698855.978781575,2496,6.0,4.0,1998.0,2024-10-28,Sold,9,4.3
PROP-10381,Residential plot of 2478 sqft in Mission District,San Francisco,Mission District,land,3196600.8678605407,2478,,,,2024-05-05,Pending,6,4.7
PROP-11193,3 BHK Apartment for sale in Loop,Chicago,Loop,Apt,752888.9913496273,2200,3.0,3.0,1982.0,2024/05/03,Active,7,3.3
PROP-10321,3 BHK Apartment for sale in River North,CHICAGO,River North,Apartment,937074.8054909541,2379,3.0,2.0,1998.0,2024-10-06,Pending,2,3.5
PROP-11887,6 BHK Villa for sale in Coral Gables,miami,Coral Gables,villa,4270032.267208512,4967,6.0,2.0,1991.0,06/02/2024,Sold,4,3.1
PROP-12843,6 BHK Villa for sale in Coral Gables,miami,Coral Gables,VILLA,1997584.6124101712,2528,6.0,4.0,2005.0,04/03/2024,Sold,4,4.6
PROP-13325,4 BHK Apartment for sale in Downtown,AUSTIN,Downtown,APT,1171826.0675955433,2307,4.0,1.0,1978.0,2024-03-29,Active,5,3.2
PROP-11972,Residential plot of 6325 sqft in West Lake Hills,ATX,West Lake Hills,Plot,3955533.2843689364,6325,,,,18/01/2025,Pending,7,3.2
PROP-13202,4 BHK Apartment for sale in Downtown,AUSTIN,Downtown,Apt,486942.89937335404,1073,4.0,3.0,1969.0,2025-08-14,Active,10,
PROP-10535,Commercial Space / Office in River North,CHICAGO,River North,Office,2153633.3085488295,6400,,2.0,,2025-03-10,Active,2,3.2
PROP-10996,Commercial Space / Office in Loop,CHI,Loop,Commercial,4936665.320770536,12930 sqft,,2.0,1983.0,2025-03-15,Pending,2,4.1
PROP-12511,Commercial Space / Office in Little Havana,MIAMI,Little Havana,COMMERCIAL,1135030.8622217325,2751,,10.0,2015.0,2024-05-15,Pending,3,3.1
PROP-11195,Commercial Space / Office in Queens,new york,Queens,COMMERCIAL,20199920.470739827,17235,,3.0,1963.0,26/01/2024,Pending,8,4.8
PROP-11153,6 BHK Villa for sale in SOMA,SAN FRANCISCO,SOMA,villa,6351602.303752442,4003,6.0,4.0,2008.0,2024-02-10,Active,6,4.1
PROP-13497,Residential plot of 8712 sqft in Marina,SAN FRANCISCO,Marina,land,"$8,764,490",8712,,,,2024-04-08,Sold,5,4.7
PROP-13448,Commercial Space / Office in Hyde Park,Chicago,Hyde Park,COMMERCIAL,3089184.364164363,10522,,3.0,1995.0,2024-12-07,Active,1,
PROP-11727,3 BHK Villa for sale in SOMA,san francisco,SOMA,villa,5574276.746823875,3565,3.0,5.0,2001.0,2025-05-17,Sold,10,4.6
PROP-13473,3 BHK Apartment for sale in Pacific Heights,SF,Pacific Heights,Apt,3574986.521535106,1983,3.0,1.0,2021.0,2025/05/28,Sold,10,4.2
PROP-10101,3 BHK Apartment for sale in South Beach,miami,South Beach,Apt,816409.6760000564,1264,3.0,3.0,1966.0,2024-07-22,Pending,10,4.0
PROP-11793,Commercial Space / Office in West Lake Hills,Austin,West Lake Hills,commercial,3384068.4580492256,4538,,7.0,2021.0,2024-12-13,Active,6,4.8
PROP-10132,1 BHK Apartment for sale in Loop,Chicago,Loop,APT,621081.0179861007,1635,1.0,3.0,1996.0,2025-01-29,Pending,7,4.6
PROP-11860,Commercial Space / Office in Pacific Heights,SF,Pacific Heights,commercial,14736453.41206898,7086,,2.0,1974.0,2024-08-23,Sold,5,3.1
PROP-11803,Residential plot of 4498 sqft in West Lake Hills,AUSTIN,West Lake Hills,plot,2643691.9689738583,4498,,,,19/09/2025,Active,2,4.4
PROP-11175,5 BHK Villa for sale in Manhattan,NY,Manhattan,villa,4167799.610067539,2217,5.0,2.0,2017.0,2025-10-13,Sold,8,4.7
PROP-10966,4 BHK Villa for sale in Marina,SAN FRANCISCO,Marina,Villa,6427401.892431849,5916,4.0,4.0,2014.0,2025-05-28,Active,7,3.3
PROP-11533,Residential plot of 6665 sqft in River North,chicago,River North,Plot,Contact Agent,6665,,,,2025-08-30,Active,1,4.3
PROP-10612,Residential plot of 4949 sqft in South Austin,ATX,South Austin,Plot,2190308.6766029038,4949,,,,2025-02-23,Pending,9,4.9
PROP-11870,Commercial Space / Office in SOMA,san francisco,SOMA,Commercial,20446329.441603854,14560,,7.0,1981.0,2025-03-04,Pending,10,4.3
PROP-11333,4 BHK Villa for sale in River North,chicago,River North,VILLA,"$964,350",2952,4.0,3.0,1988.0,2024/02/02,Active,10,4.7
PROP-11935,1 BHK Apartment for sale in Little Havana,MIAMI,Little Havana,apartment,987733.7399262399,1808,1.0,2.0,2022.0,2025/06/09,Pending,8,4.2
PROP-13308,Residential plot of 5207 sqft in Bronx,NEW YORK,Bronx,Plot,4262482.957353364,5207,,,,2025-07-26,Sold,4,4.9
PROP-11457,Residential plot of 8969 sqft in Mission District,San Francisco,Mission District,plot,13245623 USD,8969,,,,2025-10-18,Sold,4,4.4
PROP-12762,Residential plot of 6704 sqft in Downtown,ATX,Downtown,plot,3398951.6168327937,6704,,,,2025-10-22,Sold,8,3.3
PROP-10352,1 BHK Apartment for sale in South Austin,Austin,South Austin,Apt,770903.924517761,1886,1.0,3.0,1970.0,2024-11-21,Sold,1,4.8
PROP-12621,Residential plot of 9862 sqft in Brickell,Miami,Brickell,land,5929879.208407584,9862,,,,2025/02/14,Sold,10,4.8
PROP-10696,5 BHK Villa for sale in Pacific Heights,san francisco,Pacific Heights,Villa,6283706.744413397,3488,5.0,3.0,1986.0,2025/09/08,Active,3,4.1
PROP-11315,Residential plot of 2087 sqft in Marina,SF,Marina,Plot,2289760.7156907534,2087,,,,2024-05-17,Pending,4,4.5
PROP-10403,Commercial Space / Office in Manhattan,new york,Manhattan,Office,44620023.17936964,23669,,8.0,2015.0,2025-09-08,Pending,10,4.6
PROP-12907,Residential plot of 9854 sqft in East Austin,austin,East Austin,land,3128702.28840941,9854,,,,2025-10-12,Pending,8,4.2
PROP-10703,2 BHK Apartment for sale in Lincoln Park,chicago,Lincoln Park,Apartment,730694.6573351085,1214,2.0,1.0,1973.0,2024/04/25,Pending,7,4.7
PROP-13329,4 BHK Villa for sale in Lincoln Park,CHICAGO,Lincoln Park,Villa,2929682.274091977,5160,4.0,5.0,1992.0,2024-12-09,Sold,6,4.7
PROP-12252,4 BHK Villa for sale in SOMA,SAN FRANCISCO,SOMA,Villa,6502435.123401189,5361,4.0,3.0,2004.0,2025-08-03,Pending,7,3.3
PROP-10761,Commercial Space / Office in Bronx,New York,Bronx,Commercial,22764339.40108658,23102,,3.0,1980.0,2025-01-05,Sold,2,4.1
PROP-11280,5 BHK Villa for sale in Brickell,miami,Brickell,VILLA,"$2,789,677",4084,5.0,3.0,1993.0,2025-05-21,Sold,10,4.9
PROP-13257,Residential plot of 7387 sqft in East Austin,ATX,East Austin,land,2436801.351398298,7387,,,,2025-01-29,Active,7,3.4
PROP-13239,Residential plot of 2864 sqft in River North,Chicago,River North,Land,873287.6793435458,2864,,,,2025/11/21,Pending,1,4.9
PROP-12432,4 BHK Villa for sale in South Beach,MIA,South Beach,VILLA,2688651.0379769113,-4674,4.0,3.0,1993.0,2024/04/24,Sold,5,3.8
PROP-10733,Residential plot of 9951 sqft in South Beach,Miami,South Beach,land,6227094.300946187,9951,,,,2024-10-16,Pending,6,3.6
PROP-11386,5 BHK Villa for sale in West Lake Hills,austin,West Lake Hills,villa,2644635.2173320395,4159,5.0,2.0,1981.0,2025-10-02,Active,7,4.2
PROP-11090,2 BHK Apartment for sale in Queens,NEW YORK,Queens,APT,1874622.423140095,1602,2.0,2.0,1989.0,2025/05/26,Pending,1,3.2
PROP-12345,1 BHK Apartment for sale in Downtown,AUSTIN,Downtown,apartment,Contact Agent,2272 sqft,1.0,3.0,2001.0,2025-06-09,Sold,4,4.6
PROP-12479,Residential plot of 7442 sqft in West Lake Hills,AUSTIN,West Lake Hills,Land,5453313.394905484,7442,,,,2025-01-28,Pending,3,3.8
PROP-12629,Residential plot of 2154 sqft in Brickell,miami,Brickell,Land,1168077.018954066,2154,,,,2025-06-24,Sold,5,3.7
PROP-11026,4 BHK Villa for sale in Manhattan,new york,Manhattan,VILLA,7951169.703189682,4212,4.0,3.0,1988.0,2024-06-08,Active,7,3.6
PROP-12327,3 BHK Apartment for sale in Queens,N.Y.,Queens,Apt,"$834,299",613,3.0,3.0,1922.0,2025-08-04,Pending,6,4.8
PROP-13040,Residential plot of 9281 sqft in Bronx,New York,Bronx,Plot,8732427.196314046,9281,,,,2025-02-01,Pending,7,3.8
PROP-13070,3 BHK Apartment for sale in Downtown,AUSTIN,Downtown,APT,320056.6764147306,712,3.0,2.0,2005.0,2025-03-15,Sold,10,4.1
PROP-12453,Commercial Space / Office in Marina,san francisco,Marina,commercial,6428577.231498318,6376,,9.0,1973.0,2024/09/27,Pending,1,3.4
PROP-11120,Residential plot of 7250 sqft in River North,chicago,River North,Land,2534884.363155458,7250,,,,2025-05-05,Pending,3,4.2
PROP-12311,Residential plot of 1061 sqft in Lincoln Park,CHICAGO,Lincoln Park,Plot,488558.8732595701,1061,,,,2025-01-23,Sold,6,4.8
PROP-13190,Commercial Space / Office in Little Havana,Miami,Little Havana,Office,8334132.797763664,17874,,2.0,1999.0,2024-03-20,Sold,9,4.3
PROP-12223,6 BHK Villa for sale in Brooklyn,NY,Brooklyn,VILLA,"$3,834,307",3582,6.0,4.0,2011.0,2024-06-17,Pending,9,4.1
PROP-11372,2 BHK Apartment for sale in Pacific Heights,SF,Pacific Heights,apartment,3868252.8479733616,2062,2.0,1.0,2004.0,2024-12-12,Pending,6,3.4
PROP-11653,Residential plot of 9743 sqft in Brooklyn,New York,Brooklyn,Land,13062653.023760341,-9743,,,,2025-06-03,Sold,8,3.2
PROP-10332,2 BHK Apartment for sale in Brickell,MIAMI,Brickell,Apartment,673453.2359077195,1060,2.0,2.0,,2025-07-20,Active,10,4.1
PROP-10852,4 BHK Villa for sale in Bronx,new york,Bronx,Villa,6048172.398411747,5975,4.0,5.0,1980.0,2024-10-06,Sold,4,4.0
PROP-11320,2 BHK Apartment for sale in River North,CHICAGO,River North,apartment,560873.7216531828,1711,2.0,3.0,1971.0,2025/10/14,Active,1,
PROP-11060,2 BHK Apartment for sale in East Austin,austin,East Austin,APT,271134.0244742827,872,2.0,1.0,1938.0,2024-05-03,Pending,1,4.5
PROP-10994,4 BHK Apartment for sale in River North,CHICAGO,River North,Apartment,204397.23117843046,526,4.0,2.0,1958.0,2024-04-02,Active,5,3.0
PROP-13047,1 BHK Apartment for sale in Brooklyn,new york,Brooklyn,apartment,2435578.1504759095,1977,1.0,2.0,1990.0,2024/09/18,Active,2,4.5
PROP-11374,Residential plot of 7672 sqft in SOMA,San Francisco,SOMA,Plot,10624833.924872588,7672,,,,2024/06/30,Pending,6,4.2
PROP-11666,Commercial Space / Office in Mission District,San Francisco,Mission District,Commercial,20867585.56444697,16409,,6.0,1964.0,2024-11-12,Pending,10,4.5
PROP-10723,6 BHK Villa for sale in Lincoln Park,CHI,Lincoln Park,VILLA,2905761.6836896464,5073,6.0,4.0,2003.0,2024-09-26,Pending,4,3.6
PROP-12389,Commercial Space / Office in Lincoln Park,chicago,Lincoln Park,Office,5222692.815084568,11395,,5.0,1965.0,2024-12-22,Pending,4,4.1
PROP-12923,Residential plot of 3394 sqft in Hyde Park,Chicago,Hyde Park,plot,1069147.963134824,3394,,,,30/01/2025,Pending,10,4.5
PROP-12149,1 BHK Apartment for sale in Brooklyn,NY,Brooklyn,Apt,2508276.6782721113,1920 sqft,1.0,2.0,2010.0,2024-12-25,Active,7,4.8
PROP-12215,6 BHK Villa for sale in Queens,New York,Queens,Villa,5371100.471679855,5148,6.0,5.0,1991.0,2024-05-11,Pending,7,4.1
PROP-10417,5 BHK Villa for sale in Bronx,NEW YORK,Bronx,VILLA,3744993.58634339,3715,5.0,4.0,1998.0,2025-08-09,Sold,7,4.0
PROP-11655,Residential plot of 8663 sqft in Lincoln Park,Chicago,Lincoln Park,Land,4427565.3388558235,8663,,,,2024-05-26,Pending,6,4.5
PROP-13021,Commercial Space / Office in Brooklyn,NEW YORK,Brooklyn,Commercial,30565603.751409926,22724,,8.0,1988.0,2025-04-13,Sold,3,4.7
PROP-11261,Commercial Space / Office in Bronx,NEW YORK,Bronx,commercial,7856129.179046259,7675,,5.0,1981.0,2024-05-15,Active,10,4.3
PROP-11419,2 BHK Apartment for sale in Coral Gables,Miami,Coral Gables,Apt,1866248.3877219954,2300,2.0,2.0,1971.0,2024-06-11,Pending,7,3.9
PROP-13118,1 BHK Apartment for sale in East Austin,AUSTIN,East Austin,APT,306919.0898826919,862,1.0,3.0,1967.0,2025-09-27,Active,5,3.3
PROP-12306,Commercial Space / Office in Brickell,MIA,Brickell,COMMERCIAL,14050207.425816543,23028,,10.0,2016.0,2024/03/02,Sold,10,4.8
PROP-11797,4 BHK Apartment for sale in South Beach,Miami,South Beach,Apartment,1157278.7301952709,2146,4.0,1.0,1959.0,2025-02-22,Pending,10,4.8
PROP-10177,Residential plot of 2705 sqft in South Beach,miami,South Beach,plot,1835623.2866815664,2705,,,,2024-05-24,Active,6,3.7
PROP-10811,5 BHK Villa for sale in Lincoln Park,CHI,Lincoln Park,Villa,2123273.4071322265,4374,5.0,5.0,1997.0,24/10/2024,Pending,10,5.0
PROP-11368,Commercial Space / Office in Hyde Park,CHICAGO,Hyde Park,Commercial,930076 USD,3719,,8.0,1980.0,2025-02-28,Active,7,4.3
PROP-11885,5 BHK Villa for sale in Pacific Heights,SF,Pacific Heights,VILLA,10089072.01361758,5564,5.0,3.0,2002.0,2025-05-22,Pending,8,4.5
PROP-10895,4 BHK Villa for sale in South Austin,austin,South Austin,Villa,1615387.1857700942,3315,4.0,4.0,1989.0,2025-03-16,Sold,1,3.8
PROP-11595,3 BHK Villa for sale in Loop,Chicago,Loop,VILLA,1731190.0779869426,4628,3.0,4.0,1994.0,2024-11-13,Pending,2,4.2
